Informant,porch 10.7,Comments,
PA5E!,porch,,
PA6A,porch,,
PA6B,porch,,
PA6C,porch,,
PA6D!,porch,,
PA7A,porch,,
PA7A,portico,also,
PA7B,porch,,
PA7C,porch,,
PA7D!,porch,,
PA8A,porch,,
PA8B,porch,,
PA8C,porch,,
PA8D!,porch,,
PA8D!,piazza,"""a side porch covered with lattice work, often joining with another building”",
PA9A,porch,,
PA9B,porch,,
PA9C!,porch,,
PA10,porch,,
PA11A,porch,,
PA11B,porch,,
PA11B,porch,,
PA11B,stoop,"""very small”",
PA12A,porch,,
PA12B,porch,,
PA12B,portico,"""to the pigpen”",
PA12B,stoop,"""not used”",
PA13A,porch,,
PA13B,porch,,
PA14A,porch,,
PA14B,porch,,
PA14C,porch,,
PA15A,porch,,
PA15A,stoop,,
PA15B,porch,,
PA15B,stoop,"""at back, especially”",
PA15C!,porch,,
PA15C!,stoop,"""grandmother said”",
PA16A,porch,,
PA16B,porch,,
PA16C,porch,,
PA17A,porch,,
PA17B,porch,,
PA18A,porch,,
PA18A,portico,"""small”",
PA18A,stoop,"""low porch”",
PA18B!,porch,,
PA18B!,stoop,"""small”",
PA19A,porch,"""nice and proper name”",
PA19A,stoop,"also; ""common name”",
PA19B,porch,,
PA19B,stoop,,
PA20A,porch,,
PA20A,piazza,,
PA20A,stoop,,
PA20B,porch,,
PA21A,porch,,
PA21A,stoop,"""also”",
PA21B,porch,,
PA21B,porch,,
PA21B,piazza,older,
PA21B,stoop,"""smaller [than porch]; over door”",
PA22A,porch,,
PA22A,stoop,,
PA22B,porch,,
PA23A,porch,,
PA23B,porch,,
PA23B,stoop,natural,
PA24A,porch,,
PA24A,stoop,also,
PA24B,porch,,
PA24B,stoop,,
PA25A,porch,,
PA25B,porch,,
PA25B,stoop,also,
PA26A,porch,,
PA26A,stoop,small,
PA26B,porch,,
PA26B,stoop,small,
PA27A,porch,,
PA27B,porch,,
PA28A,porch,,
PA28B!,porch,,
PA29A,porch,,
PA29B,porch,,
PA30A,porch,,
PA30A,piazza,"""rare, obsolete”",
PA30A,stoop,natural,
PA30B,porch,,
PA30B,stoop,also,
PA31A,porch,,
PA31A,stoop,"""the old-fashioned way”",
PA31A,the old-fashioned way,,
PA31B,porch,,
PA31B,veranda,big,
PA31B,stoop,,
PA32A,porch,,
PA32B,porch,,
PA33A,porch,,
PA33B,porch,,
PA34A,porch,,
PA34B,porch,,
PA34C!,porch,,
PA34C!,portico,"small, with roof",
